id,role,tier,category,action,wording,frequency,intensity,evidence_to_monitor,whole_plan,linked_activities
R-CUL-01,Cultural Lead,2,Cultural safety and community,Make sure identity is part of the plan,"The {role} should make sure {preferredName}'s cultural identity, language and community connections are reflected in the plan, with the family's consent about what is recorded, so support is built on who {preferredName} is rather than only on what is difficult.",at each plan review,Family-led contribution recorded in the plan with consent,what the family and student identify as important; adjustments changed as a result,,Responding to the Feelings of Others
R-CUL-02,Cultural Lead,2,Family partnership,Make meetings work for the family,"The {role} should arrange {preferredName}'s meetings so the family can take part — timing, location, interpreters, who attends and how the meeting is run — and check with the family afterwards that it worked, so participation is real rather than formal.",before and after each meeting,Arrangements agreed with the family in advance and checked afterwards,family attendance and participation; what the family asks to change,,Forming Relationships
R-CUL-03,Cultural Lead,2,Staff capability and briefing,Brief staff on culturally responsive practice,"The {role} should brief the staff working with {preferredName} on the culturally responsive practice agreed with the family, including what to avoid, before those staff first work with {preferredName}, so cultural safety does not depend on individual awareness.",before first contact and at the start of each year,Briefing with the agreed practice written down,staff practice reported by the student and family,,Interacting According to Social Rules; Interpreting Non-Verbal Messages
R-CUL-04,Cultural Lead,2,Cultural safety and community,Connect the student with community and mentoring,"The {role} should connect {preferredName} with cultural mentoring or community programmes the family agrees to, and follow up that the connection was made, so the school is not the only source of support.","at least once a semester, with follow-up within a month",Referral plus follow-up confirming contact,connections made and sustained; student's engagement with them,,Forming Relationships
R-DO-01,Daily Organiser,1,Staffing and cover,Keep cover consistent for this student,"The {role} should keep cover for {preferredName}'s classes as consistent as possible, using the same relief teachers where there is a choice, so an absent teacher does not also mean an unfamiliar adult every time.",each time a class is covered,Same relief staff used where a choice exists,how often a familiar adult covered the class,,Carrying Out Daily Routines
R-DO-02,Daily Organiser,1,Staffing and cover,Get the summary to the relief teacher,"The {role} should make sure the relief teacher receives {preferredName}'s one-page summary of adjustments before the lesson starts, so a covered lesson is not a lesson without adjustments.",before every covered lesson,Summary supplied with the cover notes as a matter of routine,covered lessons where the summary was supplied; how those lessons went,,Carrying Out Daily Routines
R-DO-03,Daily Organiser,2,Staffing and cover,Protect timetabled support staffing,"The {role} should keep {preferredName}'s timetabled support staffing in place rather than redeploying it to cover elsewhere, and tell the plan owner the same day when it genuinely cannot be held, so the loss is visible rather than silent.",each day support is timetabled,"Allocation protected, with same-day notification when it cannot be",days the agreed support was not available and why,,Carrying Out Daily Routines
R-DIL-01,Disability Inclusion Leader,2,Coordination and planning,Convene and document the student support group,"The {role} should convene and document a student support group meeting for {preferredName} each term, recording the agreed adjustments, who is responsible for each one and the review date, and sharing that record with every teacher who teaches {preferredName}, so the same adjustments are implemented across every class rather than in some of them.","once each term, and after any significant change",Planned meeting with documented actions and named owners,adjustments agreed and who owns each one; actions completed between meetings; what teachers report is working,,Carrying Out Daily Routines
R-DIL-02,Disability Inclusion Leader,2,Documentation and evidence,Keep the record of adjustments current,"The {role} should keep {preferredName}'s record of adjustments current, updating it whenever an adjustment is added, changed or faded, and checking the written record against what is actually happening in classes at least once a term, so the documented plan and {preferredName}'s daily experience describe the same thing.","updated as changes occur, checked against practice each term","Record maintained by one named person, cross-checked with teachers",date and reason for each change; gaps found between the record and practice,,Carrying Out Daily Routines
R-DIL-03,Disability Inclusion Leader,2,Staff capability and briefing,Brief new and relieving staff before they teach the student,"The {role} should brief every new teacher, casual relief teacher and support staff member before they work with {preferredName}, using a one-page summary of the agreed adjustments and what to do if things go wrong, so support does not drop away when staffing changes.",before the first lesson with any new or relieving staff member,Short verbal briefing plus a written one-page summary,who was briefed and when; whether adjustments continued during the staffing change,,Carrying Out Daily Routines
R-DIL-04,Disability Inclusion Leader,2,Documentation and evidence,"Gather evidence across the year, not the week before","The {role} should collect evidence for {preferredName}'s plan and any funding or profile process across the whole year — teacher observations, work samples, specialist reports, student voice and family voice — rather than in the fortnight beforehand, so the picture presented is an accurate description of a normal school week.","ongoing, with a collection point each term","Structured collection against each functional area, held in one place",range and dates of evidence held; functional areas with thin evidence,,Solving Problems
R-DIL-05,Disability Inclusion Leader,2,Coordination and planning,Review each term what can be faded,"The {role} should review with {preferredName}'s teachers each term which adjustments are still needed, which should increase and which can be faded, so the level of adult support matches current evidence rather than what was agreed a year ago.",once each term,Structured review of each adjustment against recent evidence,adjustments faded and what happened next; adjustments increased and why,,Undertaking Tasks Independently
R-DIL-06,Disability Inclusion Leader,3,Resourcing and leadership,Timetable the agreed support before the term starts,"The {role} should arrange and timetable the agreed additional support for {preferredName} — staffing, spaces and equipment — before the term begins and confirm it with each teacher, so the adjustment is available from the first lesson instead of being negotiated week by week.",before the start of each term and after any timetable change,Confirmed allocation in writing before the term starts,lessons where the agreed support was not available and why,,Carrying Out Daily Routines
R-DIL-07,Disability Inclusion Leader,2,Coordination and planning,Escalate unresolved implementation barriers,"The {role} should escalate to the principal class any barrier that stops an agreed adjustment being implemented for {preferredName} and that has not been resolved within a fortnight of being raised, so problems are dealt with at the level that can actually fix them.",whenever a barrier remains unresolved after a fortnight,Written escalation naming the barrier and what is needed,"barriers raised, resolved and outstanding",,Solving Problems
R-DIL-08,Disability Inclusion Leader,3,Coordination and planning,Translate specialist advice into school actions,"The {role} should meet with the specialists involved with {preferredName}, with family consent, and translate their recommendations into specific school actions with a named owner and a start date, so advice becomes practice rather than a report in a file.",after each new report and at least once a year,Documented conversion of each recommendation into an owned action,recommendations received and the action taken for each,,Solving Problems
R-FA-01,First Aid Officer,2,"Health, care and safety",Keep the agreed response available,"The {role} should make sure {preferredName}'s agreed first aid response, medication and equipment are available and in date at all times the school operates, including sport and offsite activities, so the response does not depend on where {preferredName} is that day.",checked at the start of each term and before each offsite activity,"Stock, currency and location checked against the plan",checks completed; occasions the response was needed and what was available,,Looking After One’s Health
R-FA-02,First Aid Officer,2,Documentation and evidence,Record and pass on every event,"The {role} should record every first aid event involving {preferredName} and pass it to the health plan owner and the family the same day, so a pattern is noticed early rather than at the end of term.","same day, every time",Written record shared with the plan owner and family,events recorded; patterns identified,,Looking After One’s Health
R-FA-03,First Aid Officer,2,Staff capability and briefing,Brief the staff on duty,"The {role} should brief the staff on yard and sport duty on {preferredName}'s signs and the required response, at the start of each term and whenever the duty roster changes, so the right response is available wherever {preferredName} is.",at the start of each term and on roster changes,Briefing plus a response card carried by duty staff,staff briefed; accuracy of the response given,,Looking After One’s Safety
R-IL-01,Inclusion Leader,1,Whole-school practice,Put the universal practices in place first,"The {role} should make sure the practices that reduce the need for individual adjustment — predictable routines, accessible materials, clear instructions, known expectations — are in place across the school, so individual adjustments are reserved for what universal practice cannot cover.",reviewed each semester as part of school planning,"Whole-school practice, monitored and supported rather than assumed",consistency across classes; individual adjustments no longer needed once universal practice improved,,Undertaking Tasks Independently
R-IL-02,Inclusion Leader,1,Documentation and evidence,"Look at patterns across students, not just this one","The {role} should look for patterns across the students on plans — the same barrier appearing in the same subject, setting or time of day — and report them to leadership each semester, so recurring problems are fixed once rather than student by student.",each semester,Cross-cohort analysis with a written report to leadership,patterns identified and the whole-school change made,,Solving Problems
R-IL-03,Inclusion Leader,1,Staff capability and briefing,Run professional learning on the adjustments in use,"The {role} should run professional learning for staff on the adjustments actually in use in the school, with practice and follow-up rather than a single session, so staff can implement them confidently.",at least once a semester with follow-up in teams,"Sessions with modelling, practice and follow-up support",staff confidence; implementation observed after the learning,,Focusing and Directing Attention
R-LIT-01,Literacy Lead,2,Literacy and numeracy,Build the literacy adjustment into unit planning,"The {role} should work with {preferredName}'s teachers at the start of each unit to build the agreed literacy adjustment into the unit's texts, tasks and assessments, so the adjustment is part of the planned work rather than something added when {preferredName} struggles.",at the start of each unit,Planning conversation per unit with the adjustment written into the plan,adjustment named in unit planning; student access to the unit's texts,,Reading
R-LIT-02,Literacy Lead,2,Literacy and numeracy,Set the reading demand of materials,"The {role} should check the reading demand of the materials {preferredName} is given and supply an accessible version at the agreed reading level, keeping the same learning goal, so reading load is not the reason {preferredName} cannot show what they know.",for each unit and before each assessment,"Materials checked and adapted in advance, learning goal unchanged",reading level of materials provided; tasks completed independently,,Reading
R-LIT-03,Literacy Lead,2,Staff capability and briefing,Model the literacy strategy in class,"The {role} should model the agreed explicit literacy strategy in {preferredName}'s classes and coach the teacher to continue it, so the strategy is used consistently rather than only when a specialist is present.","at least once per teacher, then follow-up coaching each term",In-class modelling followed by teacher-led practice and feedback,strategy in use across classes; student response to the strategy,,Reading
R-LIT-04,Literacy Lead,3,Literacy and numeracy,Coordinate targeted literacy intervention,"The {role} should coordinate a targeted literacy intervention for {preferredName} at an agreed frequency, with an entry point set from assessment data and progress checked at a set interval, so the intervention is adjusted on evidence rather than continued out of habit.","sessions at the agreed frequency, progress checked every five weeks",Small-group or individual instruction with documented entry point and progress checks,progress against the entry point; transfer of the skill into class work,,Reading
R-MHP-01,Mental Health Practitioner,3,Wellbeing and mental health,Short-term goal-focused individual sessions,"The {role} should provide short-term, goal-focused individual sessions with {preferredName} at an agreed frequency, with the goals and a review point written down at the start, so support is purposeful and its effect can be judged.","an agreed number of sessions, commonly weekly, with a review point",Individual sessions with documented goals and a planned end or review,progress against the agreed goals; student view of the sessions,,Handling Stress and Other Psychological Demands
R-MHP-02,Mental Health Practitioner,2,Staff capability and briefing,Turn session work into classroom strategies,"The {role} should give {preferredName}'s teachers two or three specific, practical classroom strategies drawn from the sessions, with {preferredName}'s consent about what is shared, so the same approach is used in class and in the session.",at the start of the support and after each review point,Brief written strategies plus a conversation with the teaching team,strategies used in class and their effect,,Handling Stress and Other Psychological Demands
R-MHP-03,Mental Health Practitioner,3,"Health, care and safety",Contribute to the safety or support plan,"The {role} should contribute to {preferredName}'s safety or support plan where a risk has been identified, setting out the warning signs, the agreed response and who does what, and review it after any incident, so staff respond consistently rather than improvising.","at plan development, then reviewed each term and after any incident",Documented plan with named responders and review points,warning signs observed; how closely the agreed response was followed,,Handling Stress and Other Psychological Demands
R-MHP-04,Mental Health Practitioner,3,Family partnership,Warm handover to an external service,"The {role} should make a warm handover to any external service {preferredName} is referred to, with family consent, and follow up within a fortnight to confirm contact was made, so a referral does not end at the point of paperwork.","at referral, with follow-up within a fortnight",Direct contact between practitioners plus follow-up confirmation,referrals made and whether contact was established,,Handling Stress and Other Psychological Demands
R-MHP-05,Mental Health Practitioner,2,Staff capability and briefing,Coach staff in the agreed regulation approach,"The {role} should coach the staff who work with {preferredName} in the agreed co-regulation and de-escalation approach, modelling it and observing it in practice, so the approach is used the same way by everyone rather than differently in each class.","initial coaching, then observation and feedback once a term","Modelling, observation and feedback with the staff involved",consistency of the response across staff; escalation frequency,,Handling Stress and Other Psychological Demands
R-NUM-01,Numeracy Lead,2,Literacy and numeracy,Build the numeracy adjustment into unit planning,"The {role} should work with {preferredName}'s mathematics teachers at the start of each unit to build the agreed numeracy adjustment into the tasks and assessments, so access is planned rather than improvised in the lesson.",at the start of each unit,Planning conversation per unit with the adjustment written into the plan,adjustment named in unit planning; access to the unit's tasks,,Mathematics: Calculating
R-NUM-02,Numeracy Lead,2,Literacy and numeracy,Provide the agreed tools and scaffolds,"The {role} should make sure {preferredName} has the agreed numeracy tools and scaffolds — concrete materials, a calculator, formula or steps reference — available in every relevant lesson, so working memory and recall are not what limits the mathematics {preferredName} can do.",in every relevant lesson,"Tools available by default, without the student having to ask",tools used and by whose prompt; tasks attempted and completed,,Mathematics: Calculating
R-NUM-03,Numeracy Lead,2,Literacy and numeracy,Set the entry point from data,"The {role} should use {preferredName}'s numeracy assessment data to set the point the teaching starts from, and share that with the teachers, so tasks sit where {preferredName} can actually work rather than at the year level by default.",at the start of each year and after each assessment cycle,Data analysis translated into a stated entry point per teacher,growth from the entry point; match between tasks set and the entry point,,Mathematics: Calculating
R-NUM-04,Numeracy Lead,3,Literacy and numeracy,Coordinate targeted numeracy intervention,"The {role} should coordinate a targeted numeracy intervention for {preferredName} at an agreed frequency, checking progress at a set interval and stopping or changing it if the evidence does not show growth, so time out of class is justified by what it produces.","sessions at the agreed frequency, progress checked every five weeks",Small-group or individual instruction with documented progress checks,progress against the entry point; transfer into class work,,Mathematics: Calculating
R-NUR-01,School Nurse,3,"Health, care and safety",Maintain and review the health support plan,"The {role} should maintain {preferredName}'s health support plan with the family and the treating practitioner, train the staff named in it, and review it at least annually and after any health event, so the school response is current and delivered by trained people.",reviewed annually and after any health event,"Written plan, named trained staff, training currency tracked",training currency; health events and the response given,,Looking After One’s Health
R-NUR-02,School Nurse,3,"Health, care and safety",Make sure the health procedure travels with the student,"The {role} should make sure {preferredName}'s medication, equipment and health procedure are available wherever the school programme takes place, including excursions, camps and sport, so participation is never limited by where the equipment is kept.",before every offsite activity and daily on site,Checked against the plan before each activity,activities attended; occasions the procedure was needed offsite,,Looking After One’s Health
R-NUR-03,School Nurse,2,Staff capability and briefing,Brief staff on signs and the required response,"The {role} should brief the staff who teach or supervise {preferredName} on the signs to watch for and the exact response required, before those staff first work with {preferredName} and again each year, so the response does not depend on who happens to be there.",before first contact and annually,Briefing plus a written response card held where staff can reach it,staff briefed and when; accuracy of the response given,,Looking After One’s Health
R-NUR-04,School Nurse,3,"Health, care and safety",Review after any health incident,"The {role} should review the plan with the family after any health incident involving {preferredName}, within a week, and change the plan where the incident showed it was needed, so the plan improves each time it is tested.",within a week of any health incident,Documented review with the family and changes made to the plan,incidents and the plan changes that followed,,Looking After One’s Health
R-PRIN-01,Principal Class,3,Resourcing and leadership,Resource the agreed adjustments,"The {role} should make sure the adjustments agreed for {preferredName} are resourced — staffing, time, spaces and equipment — and named in the school's planning, so implementation does not depend on the goodwill of individual staff.","at each planning and budget cycle, and when needs change",Allocation confirmed in the school's own planning documents,adjustments that could not be delivered for resourcing reasons,,Carrying Out Daily Routines
R-PRIN-02,Principal Class,3,Resourcing and leadership,Approve and time-limit any reduction in access,"The {role} should approve, document and review any arrangement that reduces {preferredName}'s access to the full timetable or programme, setting a review date and a written plan for returning to full access, so a short-term measure does not quietly become permanent.","at the point of the decision, then reviewed at least every four weeks","Written approval, named review date, plan to restore full access",hours of programme accessed; progress against the return plan,,Carrying Out Daily Routines
R-PRIN-03,Principal Class,2,Family partnership,Meet the family at leadership level,"The {role} should meet {preferredName}'s family at agreed points across the year, and whenever the family raises an unresolved concern, so concerns are heard by someone who can act on them and the relationship does not rest on one staff member.",at least once a semester and whenever a concern is unresolved,Direct leadership contact with agreed follow-up actions,concerns raised and how each was resolved,,Forming Relationships
R-PRIN-04,Principal Class,3,"Health, care and safety",Approve and review safety-critical arrangements,"The {role} should approve the risk assessment and duty-of-care arrangements for any safety-critical adjustment for {preferredName}, confirm the staff involved are trained, and review the arrangement after any incident, so safety does not depend on informal practice.","before the arrangement starts, then reviewed each term and after any incident","Documented approval, named trained staff, incident review",training currency; incidents and the review outcome,,Looking After One’s Safety
R-PRIN-05,Principal Class,2,Whole-school practice,Build the adjustments into staff professional learning,"The {role} should include the practices {preferredName} depends on in whole-staff professional learning and planning, so the adjustment is part of how the school teaches rather than an exception a few staff know about.",at least once a year in the professional learning schedule,Scheduled whole-staff learning with follow-up in teams,staff confidence and consistency reported by teachers,,Focusing and Directing Attention
R-PRIN-06,Principal Class,2,Coordination and planning,Protect the plan through staffing and year-level changes,"The {role} should make sure {preferredName}'s plan and adjustments are handed over whenever the teaching team, year level or leadership changes, with the handover completed before the change takes effect, so nothing has to be rebuilt from scratch.","before every staffing, year level or leadership change",Documented handover with the receiving staff named,handovers completed on time; adjustments lost after a change,,Carrying Out Daily Routines
R-PSC-01,Personal and Social Capabilities Lead,2,Behaviour and engagement,Teach the specific skill explicitly,"The {role} should teach {preferredName} the specific self-management or social skill named in the plan explicitly, at an agreed time each week, and tell the teachers which skill to reinforce that fortnight, so the skill is taught rather than expected.","one session a week, with the reinforcement focus shared each fortnight",Explicit teaching with a named focus reinforced in class,the skill in use outside the session; student's own account of what is getting easier,,Managing One’s Own Behaviour
R-PSC-02,Personal and Social Capabilities Lead,1,Whole-school practice,Put the capability goal in the curriculum plan,"The {role} should make sure {preferredName}'s personal and social capability goal appears in the curriculum plan and in reporting alongside academic goals, so growth in these areas is recognised as learning rather than as behaviour.",at each planning and reporting cycle,Goal written into planning and reported on,progress reported against the capability goal,,Regulating Behaviours Within Interactions
R-PSC-03,Personal and Social Capabilities Lead,2,Behaviour and engagement,Set up a structured social opportunity,"The {role} should set up a structured activity at break times that {preferredName} can join with a known adult nearby, and step that adult back as {preferredName} settles, so social contact is available without depending on an adult being present.",at the agreed break times each week,Structured activity with adult support that reduces over time,participation; time spent without adult support,,Forming Relationships; Conversation
R-PSC-04,Personal and Social Capabilities Lead,2,Relationship and daily contact,Co-design the regulation strategies with the student,"The {role} should design {preferredName}'s self-regulation strategies with {preferredName} rather than for them, write them in {preferredName}'s words and share them with staff with consent, so the strategies are ones {preferredName} will actually use.",designed once and reviewed each term with the student,"Student-led design with adult scribing, shared with consent",strategies the student chooses to use; what the student asks to change,,Handling Stress and Other Psychological Demands
R-ES-01,Education Support Staff,2,In-class assistance,"Provide the agreed assistance, prompting before helping","The {role} should provide the agreed in-class assistance to {preferredName} under teacher and plan direction, prompting the agreed strategy before giving direct help, and recording how much prompting was needed, so support can be faded on evidence rather than habit.",in each lesson where the agreed adjustment applies,"Prompt first, direct assistance only where the prompt is not enough",level of prompting required; tasks completed with less help than last time,,Undertaking Tasks Independently; Listening; Interpreting Spoken Messages; Using Expressive Language: Speaking; Writing
R-ES-02,Education Support Staff,2,In-class assistance,Prepare adapted materials before the lesson,"The {role} should prepare or adapt {preferredName}'s materials in the agreed format before the lesson begins, under teacher direction, so {preferredName} starts the task at the same time as everyone else.",before each lesson where adapted materials are needed,Materials ready in advance to the agreed specification,lessons started on time with the right materials,,Focusing and Directing Attention; Writing; Fine Motor Skills; Producing Non-Verbal Messages
R-ES-03,Education Support Staff,2,In-class assistance,Support unstructured times,"The {role} should be available to {preferredName} at the agreed unstructured times — recess, lunch or transitions — supporting entry into an activity or group rather than supervising from beside them, so the time is used well without creating dependence on an adult.",at the agreed break or transition times each day,"Available nearby, actively supporting entry to an activity, stepping back once settled",activities and groups joined; time spent without adult support,,Forming Relationships
R-ES-04,Education Support Staff,2,Documentation and evidence,Record observations against the plan,"The {role} should record short, specific observations of {preferredName} against the goals in the plan each week and give them to the teacher and the plan coordinator, so decisions are made on what is actually happening in lessons.",weekly,Brief written observations tied to the plan goals,observations recorded; changes made because of them,,Carrying Out Daily Routines
R-ES-05,Education Support Staff,3,"Health, care and safety",Support the personal care or health routine,"The {role}, where trained and named in the plan, should support {preferredName}'s agreed personal care or health routine at the times set out in the plan, in a private space and in a way that maintains dignity and builds whatever independence is possible, so the routine is met safely without drawing attention.",at the times set out in the plan,"Trained staff only, following the documented procedure, privacy maintained",routine completed as planned; steps the student now manages independently,,Looking After One’s Health; Drinking; Eating; Dressing; Toileting; Washing Oneself
R-ES-06,Education Support Staff,2,"Health, care and safety","Support excursions, camps and offsite activities","The {role} should support {preferredName} on excursions, camps and offsite activities according to the risk assessment completed before the activity, so {preferredName} takes part in the same programme as everyone else.",for each offsite activity,Support level set by the risk assessment for that activity,offsite activities attended; supports that were needed on the day,,Moving From Place to Place; Lifting and Carrying Objects
R-IO-01,Education Support Staff,2,Assessment and curriculum access,Translate the plan into subject-level adjustments,"The {role} should work with each subject teacher at the start of every unit to turn {preferredName}'s plan into the specific adjustments that unit needs, so the plan is applied to the actual work rather than sitting above it.",at the start of each unit in each subject,Short planning conversation per subject with agreed unit-level adjustments,adjustments named in unit planning; student access to the unit's tasks,,Solving Problems
R-IO-02,Education Support Staff,2,Staff capability and briefing,Model the adjustment in the classroom,"The {role} should model or co-teach the agreed adjustment in {preferredName}'s classes at least once per teacher, then hand it back to the teacher, so staff see how it works rather than only reading about it.","at least once per teacher, and after any new adjustment is agreed",In-class modelling followed by teacher-led practice,teacher confidence and use after modelling,,Focusing and Directing Attention
R-IO-03,Education Support Staff,2,Documentation and evidence,Check adjustments are visible in practice,"The {role} should check each term whether {preferredName}'s agreed adjustments are visible in classroom practice, and feed what is found back to the teacher and the plan coordinator without blame, so gaps are found by the school rather than by the family.",once a term across a sample of classes,Short classroom visits against a specific list of agreed adjustments,adjustments seen in practice; gaps and what was done about them,,Carrying Out Daily Routines
R-IO-04,Education Support Staff,2,Assessment and curriculum access,Arrange assessment adjustments in advance,"The {role} should arrange {preferredName}'s agreed assessment adjustments — such as extra time, an alternative format, a separate space or a reader or scribe — before each formal assessment, checking each one against what the task is meant to assess, so access is provided without changing what is being measured.",before each formal assessment,Arranged in advance and confirmed with the student and the teacher,adjustments provided and used; student report of the assessment conditions,,Solving Problems; Writing
R-LM-01,Education Support Staff,2,Relationship and daily contact,Preview the week with the student,"The {role} should meet {preferredName} at the start of each week to preview what is coming — assessments, changes to routine, unfamiliar activities — and note anything that needs preparing, so the week holds fewer surprises.",once at the start of each week,Short individual meeting with a written or visual summary of the week,what the student flagged as difficult; preparation that reduced the difficulty,,Handling Stress and Other Psychological Demands
R-LM-02,Education Support Staff,2,Relationship and daily contact,Start and end of day check-in,"The {role} should check in with {preferredName} at the start and end of each day to set up equipment, materials and the day's plan and to close the day off, so the day starts organised and does not end on an unresolved problem.","twice a day, every day","Brief, predictable individual contact at fixed times",arrival organisation; issues resolved before the student goes home,,Carrying Out Daily Routines
R-LM-03,Education Support Staff,2,Relationship and daily contact,Be present at the identified hard transitions,"The {role} should be present at the transitions {preferredName} finds hardest, prompting the agreed strategy before offering direct help, and stepping back as {preferredName} manages the transition independently, so support fades as skill grows.",at the identified transitions each day they occur,"Present nearby, prompting first, direct help only if the prompt is not enough",level of prompting needed; transitions managed independently,,Handling Stress and Other Psychological Demands
R-LM-04,Education Support Staff,2,Documentation and evidence,Watch attendance and engagement patterns,"The {role} should track {preferredName}'s attendance and engagement each week, act on a pattern in the week it appears rather than at the end of term, and tell the family what has been noticed, so a drift is interrupted early.","reviewed weekly, acted on in the same week",Weekly pattern check with a defined follow-up action,attendance and lesson engagement patterns; action taken and its effect,,Carrying Out Daily Routines
R-LM-05,Education Support Staff,2,Relationship and daily contact,Restorative follow-up after conflict,"The {role} should hold a restorative conversation with {preferredName} after any conflict, once {preferredName} is regulated and before returning to the setting, covering what happened, who was affected and what will be done differently, so the return to class is planned rather than raw.","after each incident, before returning to the setting",Individual conversation with a plan for the return and any repair,repair actions completed; repeat conflicts of the same kind,,Regulating Behaviours Within Interactions
R-LM-06,Education Support Staff,2,Relationship and daily contact,Be the consistent named adult,"The {role} should be {preferredName}'s consistent named adult across the year, known to {preferredName} and the family, with a named backup for absences, so there is always someone who knows the whole picture.","across the whole year, with a named backup","One consistent relationship, handed over only with a full briefing",who the student goes to when something is wrong,,Forming Relationships
R-TR-01,Transition Coordinator,2,Transition and pathways,Plan the transition in,"The {role} should plan {preferredName}'s transition into the school or the next year level with orientation visits at quiet times, photos of the key places and adults, and a first-day plan, so the first day is familiar rather than new.",across the term before the transition,Several planned visits plus written and visual information for the student and family,visits completed; student and family report of the first weeks,,Carrying Out Daily Routines
R-TR-02,Transition Coordinator,2,Transition and pathways,Hand the plan to the receiving staff before day one,"The {role} should pass {preferredName}'s plan and current adjustments to the receiving teachers or school, with consent, before the first day rather than after it, and confirm they have been read, so support starts on day one.",before the first day of the new setting or year,Documented handover with confirmation of receipt,handover date; adjustments in place in the first week,,Carrying Out Daily Routines
R-TR-03,Transition Coordinator,2,Transition and pathways,Plan the post-school pathway with the student,"The {role} should plan {preferredName}'s post-school pathway with {preferredName} and the family from the senior years onward, including the adjustments needed for work experience, further study or employment, so the pathway is built early and led by the student.",at least twice a year through the senior years,Student-led planning meetings with documented actions,pathway actions completed; student's stated goals and how they change,,Solving Problems
