id,activity,level,field,was,now,reason
D3-A03-PE-01,Interpreting Non-Verbal Messages,Present Environment,access outcome,access gestures or facial expressions or tone or body language or social cues,"access gestures, facial expressions, tone, body language or social cues","Clunky ""or ... or ..."" list"
D3-A03-DT-01A,Interpreting Non-Verbal Messages,Differentiated Teaching,wording,Use adult explanation,"Explain what others may be communicating through gesture, expression and tone",Too vague to act on
D3-A03-SUP-01A,Interpreting Non-Verbal Messages,Supplementary,wording,Use visuals,"Use visuals to explain gestures, facial expressions and tone",Too vague to act on
D3-A03-SUP-01B,Interpreting Non-Verbal Messages,Supplementary,wording,Explicit teaching,Explicitly teach how to read non-verbal cues,Grammar: verb missing or doubled
D3-A03-SUP-01D,Interpreting Non-Verbal Messages,Supplementary,wording,Use role play and specialist advice,"Use role play, informed by specialist advice, to practise reading non-verbal cues",Too vague to act on
D3-A03-SUB-01C,Interpreting Non-Verbal Messages,Substantial,wording,Use body language of others in real time,Help {preferredName} interpret the body language of others in real time,Grammar: verb missing or doubled
D3-A03-EXT-01B,Interpreting Non-Verbal Messages,Extensive,wording,Use translate the social environment,Explain the social environment to {preferredName} as it happens,Grammar: verb missing or doubled
D3-A03-EXT-01C,Interpreting Non-Verbal Messages,Extensive,wording,Use significantly scaffold social exchanges,Significantly scaffold social exchanges,Grammar: verb missing or doubled
D3-A03-EXT-01D,Interpreting Non-Verbal Messages,Extensive,wording,Adapt routines,Adapt routines to reduce reliance on reading non-verbal cues,Too vague to act on
D3-A04-PE-01,Using Expressive Language: Speaking,Present Environment,access outcome,access class discussion or oral responses or presentations or requests for help,"access class discussion, oral responses, presentations or requests for help","Clunky ""or ... or ..."" list"
D3-A04-SUP-01D,Using Expressive Language: Speaking,Supplementary,wording,Use relevant specialist advice,Use relevant specialist advice to support expressive language,Too vague to act on
D3-A04-EXT-01A,Using Expressive Language: Speaking,Extensive,wording,Use closely observe {preferredName} to infer {hishertheir} communicative intent,Closely observe {preferredName} to interpret {hishertheir} communicative intent,Grammar: verb missing or doubled
D3-A04-EXT-01C,Using Expressive Language: Speaking,Extensive,wording,Use consistently support the use of alternative communication systems,Consistently support the use of alternative communication systems,Grammar: verb missing or doubled
D3-A04-EXT-01D,Using Expressive Language: Speaking,Extensive,wording,Use significantly scaffold parts of the exchange,Significantly scaffold parts of the exchange,Grammar: verb missing or doubled
D3-A04-EXT-02,Using Expressive Language: Speaking,Extensive,wording,Adapt the environment,Adapt the environment to create reasons and opportunities to communicate,Too vague to act on
D3-A05-PE-01,Conversation,Present Environment,access outcome,access peer discussion or group work or social conversation or repairing misunderstandings,"access peer discussion, group work, social conversation or repairing misunderstandings","Clunky ""or ... or ..."" list"
D3-A05-SUP-01B,Conversation,Supplementary,wording,Support {preferredName} to ask and answering questions,Support {preferredName} to ask and answer questions,Grammar: verb missing or doubled
D3-A05-SUP-01D,Conversation,Supplementary,wording,Use AAC,Support {preferredName} to use AAC in conversation,Too vague to act on
D3-A05-SUB-01A,Conversation,Substantial,wording,Use actively facilitating peer interactions,Actively facilitate peer interactions,Grammar: verb missing or doubled
D3-A05-EXT-01A,Conversation,Extensive,wording,Use familiar adults,Arrange for familiar adults to support conversations,Too vague to act on
D3-A05-EXT-01B,Conversation,Extensive,wording,Use trained communication partners,Arrange for trained communication partners to support conversations,Too vague to act on
D3-A05-EXT-01C,Conversation,Extensive,wording,Use AAC systems,Support {preferredName} to use AAC systems in conversation,Too vague to act on
D3-A05-EXT-01D,Conversation,Extensive,wording,Use visual choices,Offer visual choices so {preferredName} can take a turn,Too vague to act on
D3-A05-EXT-02B,Conversation,Extensive,wording,Use partner-assisted communication to initiate,Use partner-assisted communication to help {preferredName} start an exchange,Grammar: verb missing or doubled
D3-A05-EXT-02C,Conversation,Extensive,wording,Use end an exchange,Support {preferredName} to end an exchange,Grammar: verb missing or doubled
D4-A01-PE-01,Drinking,Present Environment,access outcome,access drinking routines across class or breaks or sport or excursions,"access drinking routines across class, breaks, sport or excursions","Clunky ""or ... or ..."" list"
D4-A01-DT-01,Drinking,Differentiated Teaching,wording,"Provide brief, occasional support for drinking routines across class; breaks; sport; excursions during hot weather, changes to routine or when {preferredName} is highly focused on another activity","Provide brief, occasional support for drinking routines in class, at breaks, during sport and on excursions, especially in hot weather, when routines change or when {preferredName} is highly focused on another activity",List separators leaked into the sentence
D4-A01-EXT-02A,Drinking,Extensive,wording,Use significantly scaffold the physical task,Significantly scaffold the physical task of drinking,Grammar: verb missing or doubled
D4-A01-EXT-02B,Drinking,Extensive,wording,Adapt the routine,Adapt the drinking routine as documented,Too vague to act on
D4-A02-PE-01,Eating,Present Environment,access outcome,access eating routines during breaks or excursions or school activities,"access eating routines during breaks, excursions or school activities","Clunky ""or ... or ..."" list"
D4-A02-DT-01,Eating,Differentiated Teaching,wording,"Provide brief, occasional support for eating routines during breaks; excursions; school activities when routines change, during excursions, when {preferredName} is distracted or when eating occurs in a busy social environment","Provide brief, occasional support for eating routines at breaks, on excursions and at school activities, especially when routines change, when {preferredName} is distracted or when eating happens in a busy social environment",List separators leaked into the sentence
D4-A02-SUP-02A,Eating,Supplementary,wording,Use open packaging,Open packaging or teach an agreed way to open it,Grammar: verb missing or doubled
D4-A02-SUP-02C,Eating,Supplementary,wording,Use eat enough during break times,Support {preferredName} to eat enough during break times,Grammar: verb missing or doubled
D4-A02-SUB-01A,Eating,Substantial,wording,Use pre-cut food,Provide pre-cut food where documented,Too vague to act on
D4-A02-SUB-01C,Eating,Substantial,wording,Use actively supervise meals to pace intake,Actively supervise meals to pace intake,Grammar: verb missing or doubled
D4-A02-SUB-02C,Eating,Substantial,wording,Use intake in line with relevant advice,Monitor intake in line with relevant advice,Grammar: verb missing or doubled
D4-A02-EXT-01A,Eating,Extensive,wording,Modify diets,Provide modified diets as prescribed,Too vague to act on
D4-A02-EXT-01D,Eating,Extensive,wording,Use significantly scaffold the mealtime routine,Significantly scaffold the mealtime routine,Grammar: verb missing or doubled
D4-A02-EXT-02,Eating,Extensive,wording,Adapt the environment,Adapt the eating environment to reduce distraction and risk,Too vague to act on
D4-A03-PE-01,Dressing,Present Environment,access outcome,access PE or sport or weather or toileting or clothing changes,"access PE, sport, weather, toileting or clothing changes","Clunky ""or ... or ..."" list"
D4-A03-SUP-01B,Dressing,Supplementary,wording,Manage fasteners,Support {preferredName} to manage fasteners,"Wording described the student, not what staff do"
D4-A03-SUB-01B,Dressing,Substantial,wording,Provide physical assistance with with complex fasteners where appropriate,Provide physical assistance with complex fasteners where appropriate,Grammar: verb missing or doubled
D4-A03-SUB-01C,Dressing,Substantial,wording,Guide {preferredName} into position,Guide {preferredName} into position for dressing,Too vague to act on
D4-A03-SUB-02B,Dressing,Substantial,wording,Use personal care routines,Follow the documented personal care routine for dressing,Too vague to act on
D4-A03-EXT-01A,Dressing,Extensive,wording,Manage shoes,Put on and fasten shoes for {preferredName},Grammar: verb missing or doubled
D4-A03-EXT-01B,Dressing,Extensive,wording,Use continence-related clothing,Support the use of continence-related clothing,Grammar: verb missing or doubled
D4-A03-EXT-01C,Dressing,Extensive,wording,Use protective clothing,Provide and support the use of protective clothing,Grammar: verb missing or doubled
D4-A03-EXT-02A,Dressing,Extensive,wording,Use clothing changes after spills,Support clothing changes after spills,Grammar: verb missing or doubled
D4-A03-EXT-02B,Dressing,Extensive,wording,Use personal care routines,Provide full support with dressing as part of the documented personal care routine,Too vague to act on
D4-A04-PE-01,Toileting,Present Environment,access outcome,access toileting or hygiene routines and transitions to or from class,access toileting or hygiene routines and transitions to and from class,"Clunky ""or ... or ..."" list"
D4-A04-DT-01A,Toileting,Differentiated Teaching,wording,"Provide brief, low-level support for toileting and hygiene routines within ordinary classroom or yard routines","Provide brief, low-level support for toileting and hygiene within ordinary classroom and yard routines",Grammar: verb missing or doubled
D4-A04-SUP-01B,Toileting,Supplementary,wording,Recognise body cues,Support {preferredName} to recognise body cues,"Wording described the student, not what staff do"
D4-A04-SUP-01C,Toileting,Supplementary,wording,Use move to the toilet at planned times,Support {preferredName} to go to the toilet at planned times,Grammar: verb missing or doubled
D4-A04-SUP-01D,Toileting,Supplementary,wording,Manage clothing,Support {preferredName} to manage clothing,"Wording described the student, not what staff do"
D4-A04-SUP-02A,Toileting,Supplementary,wording,Use continence aids,Support {preferredName} to use continence aids,Grammar: verb missing or doubled
D4-A04-SUP-02B,Toileting,Supplementary,wording,Use wash hands,Prompt {preferredName} to wash hands,Grammar: verb missing or doubled
D4-A04-SUP-02D,Toileting,Supplementary,wording,Return to learning,Support {preferredName} to return to learning,"Wording described the student, not what staff do"
D4-A04-SUB-01D,Toileting,Substantial,wording,Use continence aids,Support the use of continence aids,Grammar: verb missing or doubled
D4-A04-EXT-01C,Toileting,Extensive,wording,Use manual handling procedures,Follow the documented manual handling procedures,Grammar: verb missing or doubled
D4-A04-EXT-01D,Toileting,Extensive,wording,Use change continence aids,Change continence aids,Grammar: verb missing or doubled
D4-A04-EXT-02A,Toileting,Extensive,wording,Use significantly scaffold hygiene tasks,Significantly scaffold hygiene tasks,Grammar: verb missing or doubled
D4-A05-PE-01,Washing Oneself,Present Environment,access outcome,access handwashing or hygiene after toileting or eating or sport or practical activities,"access handwashing, hygiene after toileting, eating, sport or practical activities","Clunky ""or ... or ..."" list"
D4-A05-SUP-01C,Washing Oneself,Supplementary,wording,Check that they have used soap,Check that {preferredName} has used soap,Grammar: verb missing or doubled
D4-A05-SUP-02B,Washing Oneself,Supplementary,wording,Use messy activities,Prompt washing after messy activities,Grammar: verb missing or doubled
D4-A05-SUP-02C,Washing Oneself,Supplementary,wording,Use contact with bodily fluids,Support washing after contact with bodily fluids,Grammar: verb missing or doubled
D4-A05-SUB-01C,Washing Oneself,Substantial,wording,Use supervise closely,Supervise washing closely,Grammar: verb missing or doubled
D4-A05-SUB-01D,Washing Oneself,Substantial,wording,Provide physical assistance with with some parts of washing,Provide physical assistance with some parts of washing,Grammar: verb missing or doubled
D4-A05-SUB-02D,Washing Oneself,Substantial,wording,Use sensory activities,Support washing after sensory activities,Grammar: verb missing or doubled
D4-A05-SUB-03,Washing Oneself,Substantial,wording,Use personal care needs,Follow the documented plan for personal care needs,Grammar: verb missing or doubled
D4-A05-EXT-01A,Washing Oneself,Extensive,wording,Identify when washing is required,Identify when washing is required and tell {preferredName},"Wording described the student, not what staff do"
D4-A05-EXT-01C,Washing Oneself,Extensive,wording,Provide physical assistance with with washing and drying,Provide physical assistance with washing and drying,Grammar: verb missing or doubled
D4-A05-EXT-02A,Washing Oneself,Extensive,wording,Manage dignity and privacy,Protect {preferredName}'s dignity and privacy throughout washing,Too vague to act on
D4-A05-EXT-02B,Washing Oneself,Extensive,wording,Support {preferredName} to follow personal care,Support {preferredName} to follow the personal care plan,Text cut off or garbled
D4-A05-EXT-02C,Washing Oneself,Extensive,wording,Use manual handling,Follow the documented manual handling procedures,Grammar: verb missing or doubled
D4-A05-EXT-02D,Washing Oneself,Extensive,wording,Use health procedures,Follow the documented health procedures,Grammar: verb missing or doubled
D4-A06-PE-01,Looking After One’s Health,Present Environment,access outcome,access medication or health routines or wellbeing check-ins or symptom monitoring,"access medication, health routines, wellbeing check-ins or symptom monitoring","Clunky ""or ... or ..."" list"
D4-A06-DT-01A,Looking After One’s Health,Differentiated Teaching,wording,Use reminders to follow an agreed routine,Remind {preferredName} to follow the agreed health routine,Grammar: verb missing or doubled
D4-A06-DT-01B,Looking After One’s Health,Differentiated Teaching,wording,Check in with staff,Check in with {preferredName} about how {heshethey} are feeling,"Wording described the student, not what staff do"
D4-A06-DT-01C,Looking After One’s Health,Differentiated Teaching,wording,Use access medication through usual processes,Support {preferredName} to access medication through the usual school processes,Grammar: verb missing or doubled
D4-A06-DT-02,Looking After One’s Health,Differentiated Teaching,wording,Seek help when needed,Teach and prompt {preferredName} to seek help when needed,"Wording described the student, not what staff do"
D4-A06-SUP-01C,Looking After One’s Health,Supplementary,wording,Seek help,Support {preferredName} to seek help,"Wording described the student, not what staff do"
D4-A06-SUP-01D,Looking After One’s Health,Supplementary,wording,Use access medication,Support {preferredName} to access medication as documented,Grammar: verb missing or doubled
D4-A06-SUP-02,Looking After One’s Health,Supplementary,wording,Participate safely in learning and school activities,Support {preferredName} to participate safely in learning and school activities,"Wording described the student, not what staff do"
D4-A06-SUB-02C,Looking After One’s Health,Substantial,wording,Use personal care plans,Follow the documented personal care plan,Grammar: verb missing or doubled
D4-A06-EXT-01A,Looking After One’s Health,Extensive,wording,Provide sustained monitoring for medical,Provide sustained monitoring of {preferredName}'s medical condition as set out in the health plan,Text cut off or garbled
D4-A06-EXT-01D,Looking After One’s Health,Extensive,wording,Use safety plans,Follow the documented safety plan,Grammar: verb missing or doubled
D4-A07-PE-01,Looking After One’s Safety,Present Environment,access outcome,access classrooms or yard or transitions or practical subjects or excursions or unfamiliar settings,"access classrooms, yard, transitions, practical subjects, excursions or unfamiliar settings","Clunky ""or ... or ..."" list"
D4-A07-DT-01C,Looking After One’s Safety,Differentiated Teaching,wording,Use prompts during transitions,Prompt {preferredName} during transitions,Grammar: verb missing or doubled
D4-A07-DT-01D,Looking After One’s Safety,Differentiated Teaching,wording,Use brief support in unfamiliar settings,Provide brief support in unfamiliar settings,Grammar: verb missing or doubled
D4-A07-SUP-01A,Looking After One’s Safety,Supplementary,wording,Use in the yard,Provide planned supervision in the yard,Grammar: verb missing or doubled
D4-A07-SUP-01B,Looking After One’s Safety,Supplementary,wording,Use practical subjects,Provide safety support in practical subjects,Grammar: verb missing or doubled
D4-A07-SUP-01C,Looking After One’s Safety,Supplementary,wording,Provide crowded spaces,Provide support to move safely through crowded spaces,Grammar: verb missing or doubled
D4-A07-SUP-01D,Looking After One’s Safety,Supplementary,wording,Provide activities involving equipment,Provide supervision during activities involving equipment,Grammar: verb missing or doubled
D4-A07-SUB-01B,Looking After One’s Safety,Substantial,wording,Explicit teaching of safe behaviours,Explicitly teach safe behaviours,Grammar: verb missing or doubled
D4-A07-SUB-02A,Looking After One’s Safety,Substantial,wording,Use supported transitions,Provide supported transitions,Grammar: verb missing or doubled
D4-A07-SUB-02B,Looking After One’s Safety,Substantial,wording,Use planned responses to known safety risks,Follow planned responses to known safety risks,Grammar: verb missing or doubled
D4-A07-EXT-01B,Looking After One’s Safety,Extensive,wording,Use proactive risk reduction,Reduce known risks before the activity starts,Grammar: verb missing or doubled
D4-A07-EXT-01C,Looking After One’s Safety,Extensive,wording,Use environmental controls,Put the documented environmental controls in place,Grammar: verb missing or doubled
D4-A07-EXT-01D,Looking After One’s Safety,Extensive,wording,Explicit teaching of safety routines,Explicitly teach safety routines,Grammar: verb missing or doubled
D4-A07-EXT-02A,Looking After One’s Safety,Extensive,wording,Use planned responses to known risks,Follow planned responses to known risks,Grammar: verb missing or doubled
D4-A07-EXT-02B,Looking After One’s Safety,Extensive,wording,Use immediate support when safety concerns arise,Provide immediate support when safety concerns arise,Grammar: verb missing or doubled
D5-A01-PE-01,Responding to the Feelings of Others,Present Environment,access outcome,access peer interactions or group work or social incidents or repair conversations,"access peer interactions, group work, social incidents or repair conversations","Clunky ""or ... or ..."" list"
D5-A01-EXT-01A,Responding to the Feelings of Others,Extensive,wording,Use closely supervise and explain peer interactions,Closely supervise and explain peer interactions,Grammar: verb missing or doubled
D5-A01-EXT-01B,Responding to the Feelings of Others,Extensive,wording,Use prevent escalation,Act early to prevent escalation,Grammar: verb missing or doubled
D5-A01-EXT-01C,Responding to the Feelings of Others,Extensive,wording,Use significantly scaffold social repair,Significantly scaffold social repair,Grammar: verb missing or doubled
D5-A02-PE-01,Forming Relationships,Present Environment,access outcome,access group work or yard or clubs or social activities or peer interactions,"access group work, yard, clubs, social activities or peer interactions","Clunky ""or ... or ..."" list"
D5-A02-SUP-01B,Forming Relationships,Supplementary,wording,Use adult facilitation,Facilitate peer interactions,Grammar: verb missing or doubled
D5-A02-SUB-01B,Forming Relationships,Substantial,wording,Use social interaction,Create planned opportunities for social interaction,Grammar: verb missing or doubled
D5-A02-SUB-02B,Forming Relationships,Substantial,wording,Use actively monitor interactions to prevent breakdown,Actively monitor interactions to prevent breakdown,Grammar: verb missing or doubled
D5-A02-EXT-01A,Forming Relationships,Extensive,wording,Use directly facilitate peer interactions,Directly facilitate peer interactions,Grammar: verb missing or doubled
D5-A02-EXT-01C,Forming Relationships,Extensive,wording,Use supervise interactions closely,Supervise interactions closely,Grammar: verb missing or doubled
D5-A02-EXT-02C,Forming Relationships,Extensive,wording,Use repair conflict,Support {preferredName} to repair conflict,Grammar: verb missing or doubled
D5-A03-PE-01,Regulating Behaviours Within Interactions,Present Environment,access outcome,access group work or peer conflict or social demands or unstructured settings,"access group work, peer conflict, social demands or unstructured settings","Clunky ""or ... or ..."" list"
D5-A03-SUP-01A,Regulating Behaviours Within Interactions,Supplementary,wording,Use shared expectations,Agree and share clear expectations for interactions,Grammar: verb missing or doubled
D5-A03-SUP-02B,Regulating Behaviours Within Interactions,Supplementary,wording,Explicit teaching of replacement behaviours and school-wide positive behaviour supports,"Explicitly teach replacement behaviours, linked to school-wide positive behaviour supports",Grammar: verb missing or doubled
D5-A03-SUB-01A,Regulating Behaviours Within Interactions,Substantial,wording,Use actively monitor group work,Actively monitor group work,Grammar: verb missing or doubled
D5-A03-EXT-01A,Regulating Behaviours Within Interactions,Extensive,wording,Use anticipate triggers,Anticipate triggers and adjust before they occur,Grammar: verb missing or doubled
D5-A03-EXT-02C,Regulating Behaviours Within Interactions,Extensive,wording,Use intervene early in conflict,Intervene early in conflict,Grammar: verb missing or doubled
D5-A03-EXT-03,Regulating Behaviours Within Interactions,Extensive,wording,Use social participation after dysregulation,Support {preferredName} to return to social participation after dysregulation,Grammar: verb missing or doubled
D5-A04-PE-01,Interacting According to Social Rules,Present Environment,access outcome,access classrooms or group work or yard or transitions or excursions or assemblies,"access classrooms, group work, yard, transitions, excursions or assemblies","Clunky ""or ... or ..."" list"
D5-A04-SUB-01C,Interacting According to Social Rules,Substantial,wording,Use actively coach {preferredName} during activities,Actively coach {preferredName} during activities,Grammar: verb missing or doubled
D5-A04-EXT-01A,Interacting According to Social Rules,Extensive,wording,Use closely supervise interactions,Closely supervise interactions,Grammar: verb missing or doubled
D5-A04-EXT-02A,Interacting According to Social Rules,Extensive,wording,Use intervene during misunderstandings,Intervene during misunderstandings,Grammar: verb missing or doubled
D6-A01-PE-01,Lifting and Carrying Objects,Present Environment,access outcome,access school bag or books or equipment or technology or materials,"access school bag, books, equipment, technology or materials","Clunky ""or ... or ..."" list"
D6-A01-SUP-02,Lifting and Carrying Objects,Supplementary,wording,Have some materials transported by staff,Arrange for staff to transport some materials,Grammar: verb missing or doubled
D6-A01-SUB-01A,Lifting and Carrying Objects,Substantial,wording,Use regularly carry {hishertheir} bag,Regularly carry {hishertheir} bag,Grammar: verb missing or doubled
D6-A01-SUB-01B,Lifting and Carrying Objects,Substantial,wording,Provide equipment between classes,Move equipment between classes,Grammar: verb missing or doubled
D6-A01-EXT-01A,Lifting and Carrying Objects,Extensive,wording,Carry {hishertheir} bag,Carry {hishertheir} bag and materials,Too vague to act on
D6-A01-EXT-01B,Lifting and Carrying Objects,Extensive,wording,Use communication device,Carry and set up {hishertheir} communication device,Grammar: verb missing or doubled
D6-A01-EXT-01D,Lifting and Carrying Objects,Extensive,wording,Use personal care items,Carry {hishertheir} personal care items,Grammar: verb missing or doubled
D6-A02-PE-01,Fine Motor Skills,Present Environment,access outcome,access handwriting or page turning or tools or equipment or device use,"access handwriting, page turning, tools, equipment or device use","Clunky ""or ... or ..."" list"
D6-A02-DT-01D,Fine Motor Skills,Differentiated Teaching,wording,Use extra time for handwriting,Allow extra time for handwriting,Grammar: verb missing or doubled
D6-A02-SUB-02,Fine Motor Skills,Substantial,wording,Provide schedule physical breaks,Provide scheduled physical breaks,Grammar: verb missing or doubled
D6-A02-EXT-01B,Fine Motor Skills,Extensive,wording,Use set up,Set up materials and equipment before the task,Grammar: verb missing or doubled
D6-A02-EXT-01D,Fine Motor Skills,Extensive,wording,Use significantly scaffold the physical output of the task,Significantly scaffold the physical output of the task,Grammar: verb missing or doubled
D6-A03-PE-01,Moving From Place to Place,Present Environment,access outcome,access movement between classes or yard or excursions or uneven or crowded areas,"access movement between classes, yard, excursions or uneven or crowded areas","Clunky ""or ... or ..."" list"
D6-A03-SUB-02,Moving From Place to Place,Substantial,wording,Use actively plan accessible routes,Actively plan accessible routes,Grammar: verb missing or doubled
D6-A03-EXT-01C,Moving From Place to Place,Extensive,wording,Use significantly scaffold transitions,Significantly scaffold transitions,Grammar: verb missing or doubled
D6-A03-EXT-02A,Moving From Place to Place,Extensive,wording,Adapt the physical environment in line with specialist,Adapt the physical environment in line with specialist advice,Text cut off or garbled
D6-A03-EXT-02B,Moving From Place to Place,Extensive,wording,Use manual handling advice,Follow the documented manual handling advice,Grammar: verb missing or doubled
D6-A04-PE-01,Positioning One’s Body,Present Environment,access outcome,access seating or standing or transfers or posture or positioning for learning or care,"access seating, standing, transfers, posture or positioning for learning or care","Clunky ""or ... or ..."" list"
D6-A04-DT-01B,Positioning One’s Body,Differentiated Teaching,wording,Use brief physical assistance,Provide brief physical assistance,Grammar: verb missing or doubled
D6-A04-EXT-02C,Positioning One’s Body,Extensive,wording,Use reposition {preferredName} throughout the day,Reposition {preferredName} throughout the day,Grammar: verb missing or doubled
D6-A04-EXT-02D,Positioning One’s Body,Extensive,wording,Follow the documented response for to fatigue,Follow the documented response to fatigue,Text cut off or garbled
D6-A04-EXT-03,Positioning One’s Body,Extensive,wording,Use physical distress,Respond to signs of physical distress as documented,Text cut off or garbled
D2-A03-SUB-01D,Handling Stress and Other Psychological Demands,Substantial,wording,Provide planned access to an agreed calm or low-stimulus space or regulation break,"Provide planned access to an agreed calm or low-stimulus space or regulation break, which {preferredName} chooses to use and is always free to leave",Safety: make clear the space is chosen and never locked or enforced (Victorian Restraint and Seclusion policy)
D2-A03-SUB-04A,Handling Stress and Other Psychological Demands,Substantial,wording,Provide planned access to an agreed low-stimulus or calm space,Provide planned access to an agreed low-stimulus or calm space that {preferredName} chooses to use and is always free to leave,Safety: make clear the space is chosen and never locked or enforced (Victorian Restraint and Seclusion policy)
D2-A03-EXT-01D,Handling Stress and Other Psychological Demands,Extensive,wording,Provide and support access to the agreed safe or calm space,"Support {preferredName} to use the agreed safe or calm space, which {heshethey} can always leave, with an adult supervising nearby",Safety: make clear the space is chosen and never locked or enforced (Victorian Restraint and Seclusion policy)
D2-A03-EXT-02A,Handling Stress and Other Psychological Demands,Extensive,wording,Provide calm space,Provide a calm space that {preferredName} chooses to use and is always free to leave,Safety: make clear the space is chosen and never locked or enforced (Victorian Restraint and Seclusion policy)
