id,domain,activity,level,category,who_leads,who_else,required_qualification,wording,access_outcome,context,frequency,intensity_summary,evidence_to_monitor,student_voice_prompt,how_support_fades,status
D1-A01-SUP-03C,Learning and Applying Knowledge,Watching,Supplementary,Environment & routines,Classroom Teacher,Visiting Teacher,,"Adjust lighting and reduce glare at {preferredName}'s workspace, as advised by the Visiting Teacher",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,"at the start of each term, and whenever the room changes","Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUP-04A,Learning and Applying Knowledge,Watching,Supplementary,Environment & routines,Classroom Teacher,,,"Seat {preferredName} where {heshethey} can best see the board, demonstrations and the teacher's face",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,"in every lesson, reviewed when the room or seating plan changes","Regular, planned and personalised; at specific times/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-01A,Learning and Applying Knowledge,Watching,Substantial,Instruction & explanation,Classroom Teacher,Education Support Staff,,Explicitly direct {preferredName}'s attention to key visual features,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-01B,Learning and Applying Knowledge,Watching,Substantial,Environment & routines,Classroom Teacher,Education Support Staff,,Reduce visual clutter,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-01C,Learning and Applying Knowledge,Watching,Substantial,Task & materials,Classroom Teacher,Education Support Staff,,Provide enlarged visual materials,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-01D,Learning and Applying Knowledge,Watching,Substantial,Task & materials,Classroom Teacher,Education Support Staff,,Provide high-contrast materials,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-02A,Learning and Applying Knowledge,Watching,Substantial,Instruction & explanation,Classroom Teacher,Education Support Staff,,Supplement visual information with verbal explanation,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-02B,Learning and Applying Knowledge,Watching,Substantial,Instruction & explanation,Classroom Teacher,Education Support Staff,,Allow additional time to interpret diagrams,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-02C,Learning and Applying Knowledge,Watching,Substantial,Instruction & explanation,Classroom Teacher,Education Support Staff,,Provide written instructions alongside spoken information,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-02D,Learning and Applying Knowledge,Watching,Substantial,Instruction & explanation,Classroom Teacher,Education Support Staff,,"Present key information on screen where {preferredName} can adjust size, contrast and zoom",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-03A,Learning and Applying Knowledge,Watching,Substantial,Task & materials,Classroom Teacher,Education Support Staff; Visiting Teacher,,Have materials ready in {preferredName}'s agreed format before the lesson starts,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,for every lesson and task,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-SUB-03B,Learning and Applying Knowledge,Watching,Substantial,Technology & resources,Classroom Teacher,Education Support Staff; Visiting Teacher,,"Support {preferredName} to use screen magnification or screen reader software, as taught by the Visiting Teacher",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,in every lesson that uses a screen,"Frequent, personalised; on most days/relevant settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-EXT-01A,Learning and Applying Knowledge,Watching,Extensive,Technology & resources,Classroom Teacher,Education Support Staff,,Use audio description,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-EXT-01B,Learning and Applying Knowledge,Watching,Extensive,Task & materials,Classroom Teacher,Education Support Staff,,Provide tactile materials,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-EXT-01C,Learning and Applying Knowledge,Watching,Extensive,Instruction & explanation,Classroom Teacher,Education Support Staff,,Use verbal explanation,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-EXT-01D,Learning and Applying Knowledge,Watching,Extensive,Technology & resources,Classroom Teacher,Education Support Staff,,Provide the agreed assistive technology and teach its use,access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,consistently throughout the activity or across relevant settings in the school day,"Sustained, highly individualised; consistently across activity/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A01-EXT-02A,Learning and Applying Knowledge,Watching,Extensive,Task & materials,Classroom Teacher,Education Support Staff; Visiting Teacher,,"Share diagrams, maps and models in advance with the staff preparing tactile versions, in time for the tactile versions to be ready when the class uses them",access and interpret visual information used for learning,visual information; demonstrations; images; screen-based content,"for every lesson that uses diagrams, maps or models","Sustained, highly individualised; consistently across activity/settings","key visual information {preferredName} identifies without help; the format {preferredName} uses (print size, zoom, contrast or description); visual fatigue, and breaks needed in long visual tasks; board or screen content missed, and why","Which part of this support helps you most when working with visual information, demonstrations, images or screen-based content? What should we keep, change or fade?","Teach {preferredName} to set up and ask for the formats and settings that work. Hand over one step at a time, starting with the most familiar tasks, and keep the adjustment wherever vision itself is the barrier.",working_draft
D1-A02-PE-01,Learning and Applying Knowledge,Listening,Present Environment,Technology & resources,Classroom Teacher,,,Maintain ordinary accessible supports and resources in the setting,"access spoken instructions, class discussion, announcements or audio content",spoken instructions; class discussion; announcements; audio content,as part of everyday practice,Ordinary supports/resources available in the setting,"instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-DT-01,Learning and Applying Knowledge,Listening,Differentiated Teaching,Technology & resources,Classroom Teacher,Education Support Staff,,Provide agreed classroom supports matched to the activity,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,as needed during relevant tasks or routines,"Brief, occasional; within usual classroom practice","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-03B,Learning and Applying Knowledge,Listening,Differentiated Teaching,Communication & interaction,Classroom Teacher,Education Support Staff,,"Face the class when speaking, keep lips visible, and repeat other students' questions and answers aloud",access and understand spoken information,spoken instructions; class discussion; announcements; audio content,whenever speaking to the class,"Brief, occasional; within usual classroom practice","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-01A,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Provide access to the hearing loop where available and appropriate,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-01B,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Provide captioned materials,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-01C,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Provide visual supports,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-01D,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Provide written instructions alongside spoken information,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-02A,Learning and Applying Knowledge,Listening,Supplementary,Physical access & mobility,Classroom Teacher,Education Support Staff,,Provide preferential positioning matched to the access need,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-02B,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff,,Use specialist advice to adjust the acoustic environment,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,at specific times through the week or in identified tasks or settings,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-03A,Learning and Applying Knowledge,Listening,Supplementary,Technology & resources,Classroom Teacher,Education Support Staff; Visiting Teacher,,"Use the remote microphone system, and check it is working before the lesson starts",access and understand spoken information,spoken instructions; class discussion; announcements; audio content,in every relevant lesson,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUP-03C,Learning and Applying Knowledge,Listening,Supplementary,Environment & routines,Classroom Teacher,,,"Reduce background noise, such as fans, open doors and chatter",access and understand spoken information,spoken instructions; class discussion; announcements; audio content,before giving key spoken information,"Regular, planned and personalised; at specific times/settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
D1-A02-SUB-01A,Learning and Applying Knowledge,Listening,Substantial,Technology & resources,Classroom Teacher,Education Support Staff,,Provide visual supports,access and understand spoken information,spoken instructions; class discussion; announcements; audio content,on most days or across most relevant tasks or settings,"Frequent, personalised; on most days/relevant settings","instructions {preferredName} follows first time, through speech, technology or an interpreter; use of hearing technology or captions, and any faults; how often {preferredName} asks for repetition or checks with a peer; listening fatigue across the day","Which part of this support helps you most when working with spoken instructions, class discussion, announcements or audio content? What should we keep, change or fade?","Teach {preferredName} to check equipment, choose a good position and ask for repetition. Reduce adult checks as these become independent, and keep technology, captions and interpreting wherever hearing itself is the barrier.",working_draft
